Str_ID,Link_ID,From,Prov_Code,Str_Type,GPS_E,GPS_S,EndGPS_E,EndGPS_S,Obst_Type,Num_Spans,Over_Length,Span_Length,Clear_Soffit,Clear_Width,Walk_Width,Total_Width,Barrier_Height,Des_Type,Mat_Type,Surf_Type
BR072310:0095.65,R072310:0000.0,95650,Niassa,BRDG,37.4202079773,-14.2870788574,,,RIVR,5,30.00,6,7.00,3.00,,,,,CONC,CONC
BR072310:0104.09,R072310:0095.7,104088,Niassa,BRDG,37.4379425049,-14.216709137,,,RIVR,12,72.00,6,1.50,3.00,,,,,CONC,CONC
BR072310:0114.59,R072310:0110.6,114589,Niassa,BRDG,37.4777908325,-14.1430416107,,,RIVR,19,114.00,6,2.00,3.50,,,,,CONC,CONC
BR072310:0142.01,R072310:0120.1,142008,Niassa,BRDG,37.6370811462,-14.0045700073,,,STRM,2,6.00,3,2.00,3.00,,,,CULV,CONC,CONC
BR072310:0144.80,R072310:0120.1,144798,Niassa,BRDG,37.6625595093,-14.0033712387,,,STRM,2,6.00,3,2.00,3.00,,,,CULV,CONC,CONC
BR072310:0160.94,R072310:0120.1,160938,Niassa,BRDG,37.8041687012,-14.0158138275,,,STRM,2,6.00,3,2.00,3.00,,,,CULV,CONC,CONC
BR072610:0225.32,R072610:0218.2,225323,Niassa,BRDG,36.6161727905,-12.4464206696,,,STRM,,,20,2.00,4.00,,,,,CONC,CONC
BR072610:0230.46,R072610:0218.2,230458,Niassa,BRDG,36.6409683228,-12.4127569199,,,STRM,,,8,1.50,3.50,,,,,CONC,CONC
BR072610:0255.43,R072610:0218.2,255429,Niassa,VENT,36.7516365051,-12.2828073502,,,STRM,,,25,1.50,3.50,,,,VENT,CONC,CONC
BR072610:0304.81,R072610:0302.7,304810,Niassa,VENT,37.0344085693,-12.0733890533,,,STRM,10,60.00,6,1.50,4.00,,,,VENT,WOOD,WOOD
BR072610:0324.41,R072610:0302.7,324413,Niassa,VENT,37.19298172,-12.0958518982,,,STRM,4,24.00,6,1.50,3.00,,,,VENT,WOOD,WOOD
BR072710:0007.10,R072710:0000.0,7104,Niassa,BRDG,34.8981246948,-13.3646631241,,,STRM,3,18.00,6,1.50,4.00,,,,,STEL,STEL
BR072710:0007.55,R072710:0000.0,7547,Niassa,BRDG,34.9007301331,-13.3665361404,,,STRM,,,5,2.50,3.50,,,,,STEL,STEL
BR072710:0012.98,R072710:0000.0,12978,Niassa,BRDG,34.937915802,-13.3708429337,,,RIVR,7,49.00,7,1.80,3.00,,,,,CONC,CONC
BR072710:0017.45,R072710:0000.0,17452,Niassa,BRDG,34.9712371826,-13.3527164459,,,STRM,,,,2.00,3.00,,,,,CONC,CONC
